date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:01	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:14%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-pi4-ingredients-1036.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-pi4-ingredients-1036.jpg	(from https://www.beardo.in/)
12:36:01	0/-1	---M--	302	error ('')			https://www.beardo.in/checkout/address	/home/dhawal/websites/my%20new%20project/www.beardo.in/checkout/address.688.delayed	(from https://www.beardo.in/cart)
12:36:03	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:16%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-hair-fall-control-shampoo-for-men-product-images-2-768.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-hair-fall-control-shampoo-for-men-product-images-2-768.jpg	(from https://www.beardo.in/)
12:36:03	0/-1	---M--	302	error ('')			https://www.beardo.in/checkout/address	/home/dhawal/websites/my%20new%20project/www.beardo.in/checkout/address.689.delayed	(from https://www.beardo.in/cart)
12:36:04	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:17%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-hair-fall-control-shampoo-for-men-product-images-3-769.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-hair-fall-control-shampoo-for-men-product-images-3-769.jpg	(from https://www.beardo.in/)
12:36:05	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:19%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-2380.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-2380.jpg	(from https://www.beardo.in/)
12:36:06	0/-1	---M--	302	error ('')			https://www.beardo.in/checkout/address	/home/dhawal/websites/my%20new%20project/www.beardo.in/checkout/address.68a.delayed	(from https://www.beardo.in/cart)
12:36:09	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:22%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-hair-fall-control-shampoo-for-men-product-images-4-770.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-hair-fall-control-shampoo-for-men-product-images-4-770.jpg	(from https://www.beardo.in/)
12:36:20	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:23%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-hair-fall-control-shampoo-for-men-product-images-5-771.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-hair-fall-control-shampoo-for-men-product-images-5-771.jpg	(from https://www.beardo.in/)
12:36:22	67581/67581	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202019%2009:28:36%20GMT	https://www.beardo.in/oil/beardo-beard-hair-growth-oil-for-full-beard	/home/dhawal/websites/my%20new%20project/www.beardo.in/oil/beardo-beard-hair-growth-oil-for-full-beard.html	(from https://www.beardo.in/)
12:36:22	0/-1	---M--	302	error ('')			https://www.beardo.in/checkout/address	/home/dhawal/websites/my%20new%20project/www.beardo.in/checkout/address.68b.delayed	(from https://www.beardo.in/oil/beardo-beard-hair-growth-oil-for-full-beard)
12:36:22	357/357	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:35%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-hair-wax-strong-hold-crystal-gel-wax-product-image-2-785-1423.png	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-hair-wax-strong-hold-crystal-gel-wax-product-image-2-785-1423.png	(from https://www.beardo.in/)
12:36:24	357/357	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:37%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-hair-wax-strong-hold-crystal-gel-wax-product-image-3-786-1424.png	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-hair-wax-strong-hold-crystal-gel-wax-product-image-3-786-1424.png	(from https://www.beardo.in/)
12:36:24	39504/39504	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202019%2009:28:39%20GMT	https://www.beardo.in/paypal-offers	/home/dhawal/websites/my%20new%20project/www.beardo.in/paypal-offers.html	(from https://www.beardo.in/)
12:36:25	12066/12066	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.gstatic.com/firebasejs/7.2.1/firebase-app.js	/home/dhawal/websites/my%20new%20project/www.gstatic.com/firebasejs/7.2.1/firebase-app.js	(from https://www.beardo.in/)
12:36:25	0/-1	---M--	302	error ('')			https://www.beardo.in/checkout/address	/home/dhawal/websites/my%20new%20project/www.beardo.in/checkout/address.68c.delayed	(from https://www.beardo.in/paypal-offers)
12:36:26	46166/46166	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.gstatic.com/firebasejs/7.2.1/firebase-messaging.js	/home/dhawal/websites/my%20new%20project/www.gstatic.com/firebasejs/7.2.1/firebase-messaging.js	(from https://www.beardo.in/)
12:36:26	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:40%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-2382.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-2382.jpg	(from https://www.beardo.in/)
12:36:26	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:39%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-strong-hold-wax-1429.jpeg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-strong-hold-wax-1429.jpg	(from https://www.beardo.in/)
12:36:26	357/357	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:39%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-hair-wax-strong-hold-crystal-gel-wax-product-image-5-789-1425.png	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-hair-wax-strong-hold-crystal-gel-wax-product-image-5-789-1425.png	(from https://www.beardo.in/)
12:36:29	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:41%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-intimate-wash-listing-image-1200x1200-05-1569.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-intimate-wash-listing-image-1200x1200-05-1569.jpg	(from https://www.beardo.in/)
12:36:29	55681/55681	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202019%2009:28:42%20GMT	https://www.beardo.in/fragrance/beardo-dark-side-perfume-for-men	/home/dhawal/websites/my%20new%20project/www.beardo.in/fragrance/beardo-dark-side-perfume-for-men.html	(from https://www.beardo.in/)
12:36:29	0/-1	---M--	302	error ('')			https://www.beardo.in/checkout/address	/home/dhawal/websites/my%20new%20project/www.beardo.in/checkout/address.68d.delayed	(from https://www.beardo.in/fragrance/beardo-dark-side-perfume-for-men)
12:36:29	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:42%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-intimate-wash-1080x1080-1563.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-intimate-wash-1080x1080-1563.jpg	(from https://www.beardo.in/)
12:36:30	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:43%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-intimate-wash-listing-image-1200x1200-03-1567.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-intimate-wash-listing-image-1200x1200-03-1567.jpg	(from https://www.beardo.in/)
12:36:32	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:43%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-lip-lightener-image-02-1597.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-lip-lightener-image-02-1597.jpg	(from https://www.beardo.in/)
12:36:32	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:44%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-whatsapp-image-2019-02-09-at-41347-pm-1-1604.jpeg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-whatsapp-image-2019-02-09-at-41347-pm-1-1604.jpg	(from https://www.beardo.in/)
12:36:34	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:47%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-1609.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-1609.jpg	(from https://www.beardo.in/)
12:36:34	63577/63577	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202019%2009:28:47%20GMT	https://www.beardo.in/hair/beardo-hair-fall-control-kit-shampoo-serum-growth-oil	/home/dhawal/websites/my%20new%20project/www.beardo.in/hair/beardo-hair-fall-control-kit-shampoo-serum-growth-oil.html	(from https://www.beardo.in/)
12:36:35	0/-1	---M--	302	error ('')			https://www.beardo.in/checkout/address	/home/dhawal/websites/my%20new%20project/www.beardo.in/checkout/address.68e.delayed	(from https://www.beardo.in/hair/beardo-hair-fall-control-kit-shampoo-serum-growth-oil)
12:36:35	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:47%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-pi7-how-to-use-1300.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-pi7-how-to-use-1300.jpg	(from https://www.beardo.in/)
12:36:36	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:49%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-pi5-1298.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-pi5-1298.jpg	(from https://www.beardo.in/)
